case_id,y_left,y_right,torque_over_normal,initial_margin,failure_score,dy_left,dy_right,delta_difference,repair_sign,field_l2,field_success,scalar_random_success,scalar_global_success,no_repair_success
110,0.6533563393966579,0.38030147518431234,0.9102314536354914,-0.873286317847837,0.9999991453569498,-0.4366431589239185,0.4366431589239185,0.873286317847837,1,0.6175066772676362,1.0,0.0,0.0,0.0
111,-0.19884859053136095,-0.15723332221806197,-0.6179289744045455,-0.3495442427178445,0.9962888960673326,0.17477212135892226,-0.17477212135892226,-0.3495442427178445,-1,0.24716510435050434,1.0,1.0,1.0,0.0
112,0.6865684490799993,-0.21899471684469218,-0.04439537848066388,-0.5511677874440275,0.9998520790474089,-0.27558389372201375,0.27558389372201375,0.5511677874440275,1,0.3897344800732575,1.0,1.0,0.0,0.0
113,0.5903475983833739,-0.47032486667991535,0.8752720461795236,-1.6259445112428128,0.9999999999949676,-0.8129722556214064,0.8129722556214064,1.6259445112428128,1,1.1497163897328395,1.0,0.0,0.0,0.0
114,0.3923414049866343,-0.09535815184877094,0.08110416985113633,-0.25880372668654156,0.9843399684262303,-0.12940186334327078,0.12940186334327078,0.25880372668654156,1,0.1830018701364034,1.0,1.0,0.0,0.0
115,-0.39484537588353275,0.5002945392725433,-0.2091688876734623,-0.7943088028295384,0.9999969760416388,0.3971544014147692,-0.3971544014147692,-0.7943088028295384,-1,0.561661140836935,1.0,0.0,1.0,0.0
116,-0.3230200133968425,0.20670901873000092,-0.6639006772364611,-0.8836297093633045,0.9999992757115223,0.44181485468165227,-0.44181485468165227,-0.8836297093633045,-1,0.6248205595486908,1.0,0.0,1.0,0.0
117,-0.2754742182553263,0.6392663027918122,-0.76941372123092,-1.3741542422780584,0.9999999997172528,0.6870771211390292,-0.6870771211390292,-1.3741542422780584,-1,0.971673783111077,1.0,1.0,1.0,0.0
118,-0.5367000685943704,-0.44348157572003244,-0.47313794666083037,-0.25635643953516835,0.9837247892127099,0.12817821976758417,-0.12817821976758417,-0.25635643953516835,-1,0.18127137679615668,1.0,1.0,1.0,0.0
119,-0.24531287021827575,-0.19081645479827003,0.508851469768266,-0.1443550543482603,0.9096756370950662,-0.07217752717413015,0.07217752717413015,0.1443550543482603,1,0.10207443782820746,1.0,0.0,0.0,0.0
120,-0.6574674897384244,-0.5339364166095124,0.6665648476765813,-0.23303377454766933,0.9765359108308335,-0.11651688727383466,0.11651688727383466,0.23303377454766933,1,0.16477976222815405,1.0,1.0,0.0,0.0
121,-0.10533393051175155,0.41820524936816117,-0.697692456768018,-0.9112316366479307,0.999999534291834,0.45561581832396536,-0.45561581832396536,-0.9112316366479307,-1,0.6443380695054679,1.0,1.0,1.0,0.0
122,0.0344851342230057,0.5180609835283625,-0.3077207033963749,-0.4812965527017317,0.9995477146314095,0.24064827635086586,-0.24064827635086586,-0.4812965527017317,-1,0.34032805617710304,1.0,1.0,1.0,0.0
123,0.7460268443913103,-0.16154581941766621,-0.04979258529321795,-0.5477800785157585,0.9998438412480098,-0.27389003925787925,0.27389003925787925,0.5477800785157585,1,0.3873390081173923,1.0,0.0,0.0,0.0
124,0.1792285576988497,-0.2747418037284404,0.6415140597589917,-0.7854844211862817,0.9999965174794191,-0.39274221059314085,0.39274221059314085,0.7854844211862817,1,0.55542136073721,1.0,0.0,0.0,0.0
125,0.7274004052845024,0.7333951525534887,0.6475035787667556,-0.3315088314977693,0.9950536233209116,-0.16575441574888464,0.16575441574888464,0.3315088314977693,1,0.2344121427753012,1.0,0.0,0.0,0.0
126,-0.6807639612385854,-0.5876185024008382,0.9409895354773454,-0.5378440766395982,0.9998169384832502,-0.2689220383197991,0.2689220383197991,0.5378440766395982,1,0.38031319381287704,1.0,1.0,0.0,0.0
127,-0.5576842265004003,0.6560766390112129,0.3414853755385332,-0.56227548997308,0.999876161428819,0.28113774498654,-0.28113774498654,-0.56227548997308,-1,0.3975888118549535,1.0,0.0,1.0,0.0
